,"sublimation_enthalpy_kj/mol","MaxEStateIndex","MinEStateIndex","MaxAbsEStateIndex","MinAbsEStateIndex","qed","MolWt","HeavyAtomMolWt","ExactMolWt","NumValenceElectrons","NumRadicalElectrons","MaxPartialCharge","MinPartialCharge","MaxAbsPartialCharge","MinAbsPartialCharge","FpDensityMorgan1","FpDensityMorgan2","FpDensityMorgan3","BCUT2D_MWHI","BCUT2D_MWLOW","BCUT2D_CHGHI","BCUT2D_CHGLO","BCUT2D_LOGPHI","BCUT2D_LOGPLOW","BCUT2D_MRHI","BCUT2D_MRLOW","BalabanJ","BertzCT","Chi0","Chi0n","Chi0v","Chi1","Chi1n","Chi1v","Chi2n","Chi2v","Chi3n","Chi3v","Chi4n","Chi4v","HallKierAlpha","Ipc","Kappa1","Kappa2","Kappa3","LabuteASA","PEOE_VSA1","PEOE_VSA10","PEOE_VSA11","PEOE_VSA12","PEOE_VSA13","PEOE_VSA14","PEOE_VSA2","PEOE_VSA3","PEOE_VSA4","PEOE_VSA5","PEOE_VSA6","PEOE_VSA7","PEOE_VSA8","PEOE_VSA9","SMR_VSA1","SMR_VSA10","SMR_VSA2","SMR_VSA3","SMR_VSA4","SMR_VSA5","SMR_VSA6","SMR_VSA7","SMR_VSA8","SMR_VSA9","SlogP_VSA1","SlogP_VSA10","SlogP_VSA11","SlogP_VSA12","SlogP_VSA2","SlogP_VSA3","SlogP_VSA4","SlogP_VSA5","SlogP_VSA6","SlogP_VSA7","SlogP_VSA8","SlogP_VSA9","TPSA","EState_VSA1","EState_VSA10","EState_VSA11","EState_VSA2","EState_VSA3","EState_VSA4","EState_VSA5","EState_VSA6","EState_VSA7","EState_VSA8","EState_VSA9","VSA_EState1","VSA_EState10","VSA_EState2","VSA_EState3","VSA_EState4","VSA_EState5","VSA_EState6","VSA_EState7","VSA_EState8","VSA_EState9","FractionCSP3","HeavyAtomCount","NHOHCount","NOCount","NumAliphaticCarbocycles","NumAliphaticHeterocycles","NumAliphaticRings","NumAromaticCarbocycles","NumAromaticHeterocycles","NumAromaticRings","NumHAcceptors","NumHDonors","NumHeteroatoms","NumRotatableBonds","NumSaturatedCarbocycles","NumSaturatedHeterocycles","NumSaturatedRings","RingCount","MolLogP","MolMR","fr_Al_COO","fr_Al_OH","fr_Al_OH_noTert","fr_ArN","fr_Ar_COO","fr_Ar_N","fr_Ar_NH","fr_Ar_OH","fr_COO","fr_COO2","fr_C_O","fr_C_O_noCOO","fr_C_S","fr_HOCCN","fr_Imine","fr_NH0","fr_NH1","fr_NH2","fr_N_O","fr_Ndealkylation1","fr_Ndealkylation2","fr_Nhpyrrole","fr_SH","fr_aldehyde","fr_alkyl_carbamate","fr_alkyl_halide","fr_allylic_oxid","fr_amide","fr_amidine","fr_aniline","fr_aryl_methyl","fr_azide","fr_azo","fr_barbitur","fr_benzene","fr_benzodiazepine","fr_bicyclic","fr_diazo","fr_dihydropyridine","fr_epoxide","fr_ester","fr_ether","fr_furan","fr_guanido","fr_halogen","fr_hdrzine","fr_hdrzone","fr_imidazole","fr_imide","fr_isocyan","fr_isothiocyan","fr_ketone","fr_ketone_Topliss","fr_lactam","fr_lactone","fr_methoxy","fr_morpholine","fr_nitrile","fr_nitro","fr_nitro_arom","fr_nitro_arom_nonortho","fr_nitroso","fr_oxazole","fr_oxime","fr_para_hydroxylation","fr_phenol","fr_phenol_noOrthoHbond","fr_phos_acid","fr_phos_ester","fr_piperdine","fr_piperzine","fr_priamide","fr_prisulfonamd","fr_pyridine","fr_quatN","fr_sulfide","fr_sulfonamd","fr_sulfone","fr_term_acetylene","fr_tetrazole","fr_thiazole","fr_thiocyan","fr_thiophene","fr_unbrch_alkane","fr_urea"
1,43.59038934,1.5,1.5,1.5,1.5,0.408361929,70.135,60.055,70.07825032,30,0,-0.053305973,-0.053305973,0.053305973,0.053305973,0.4,0.6,0.8,14.013,10.39358405,1.948694027,-1.670721928,2.1461,-1.473315955,4.505,0.885584045,2.083333333,11.60964047,3.535533906,3.535533906,3.535533906,2.5,2.5,2.5,1.767766953,1.767766953,1.25,1.25,0.883883476,0.883883476,0,22.88643539,3.2,1.44,0.64,33.19318833,0,0,0,0,0,0,0,0,0,0,32.10410811,0,0,0,0,0,0,0,0,32.10410811,0,0,0,0,0,0,0,0,0,0,0,32.10410811,0,0,0,0,0,0,0,0,0,0,0,32.10410811,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,1,5,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1.9505,23.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,147.9678299,2.556967593,0.244403108,2.556967593,0.244403108,0.403811795,418.624,384.352,418.2660511,162,0,0.025872383,-0.062247647,0.062247647,0.025872383,0.34375,0.59375,0.875,14.6080751,9.641031454,2.575419091,-2.386936508,2.640226011,-2.346661372,5.494777301,0.382225696,1.365566081,963.2948499,21.17515134,19.04915909,19.04915909,15.84137372,13.06342127,13.06342127,11.14452973,11.14452973,10.37332449,10.37332449,9.343478531,9.343478531,-2.34,101327115,19.15847079,7.07773232,2.339983312,192.6314565,0,0,0,0,0,0,0,0,0,0,84.92913896,97.29200313,10.82998094,0,0,0,0,0,23.67162418,62.19655392,0,107.1829449,0,0,0,0,0,0,0,10.82998094,23.67162418,73.62037895,84.92913896,0,0,0,0,0,0,0,10.82998094,0,23.67162418,51.36657298,22.25380597,0,84.92913896,0,0,0,0,0,6.798924777,3.246276499,33.23723224,11.21756648,0,0,0.4375,32,0,0,4,0,4,3,0,3,0,0,0,4,4,0,4,7,7.8988,131.782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29.6316288,2.125,1.25,2.125,1.25,0.385470659,44.097,36.033,44.06260026,20,0,-0.059038364,-0.065645441,0.065645441,0.059038364,1.333333333,1.333333333,1.333333333,13.42571365,10.59728635,1.352374439,-1.476058244,1.558813651,-1.269613651,3.917713651,1.089286349,1.632993162,0,2.707106781,2.707106781,2.707106781,1.414213562,1.414213562,1.414213562,0.707106781,0.707106781,0,0,0,0,0,2.754887502,3,2,0,21.46913526,0,0,0,0,0,0,0,0,0,0,20.26829602,0,0,0,0,0,0,0,0,20.26829602,0,0,0,0,0,0,0,0,0,0,0,20.26829602,0,0,0,0,0,0,0,0,0,0,0,6.420821623,0,0,13.8474744,0,0,0,0,0,0,0,0,1.25,4.25,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4163,15.965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,37.67869164,2.180555556,1.319444444,2.180555556,1.319444444,0.431024358,58.124,48.044,58.07825032,26,0,-0.05643437,-0.065392443,0.065392443,0.05643437,1,1.25,1.25,13.63020517,10.39358405,1.560298808,-1.676333473,1.763305167,-1.473315955,4.122205167,0.885584045,1.974744871,2,3.414213562,3.414213562,3.414213562,1.914213562,1.914213562,1.914213562,1,1,0.5,0.5,0,0,0,6.854752972,4,3,2,27.83407737,0,0,0,0,0,0,0,0,0,0,26.68911765,0,0,0,0,0,0,0,0,26.68911765,0,0,0,0,0,0,0,0,0,0,0,26.68911765,0,0,0,0,0,0,0,0,0,0,0,12.84164325,0,0,13.8474744,0,0,0,0,0,0,0,0,2.638888889,4.361111111,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.8064,20.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,136.7513136,2.476878071,0.788509779,2.476878071,0.788509779,0.497827613,314.472,288.264,314.2034508,122,0,-0.008660464,-0.061654797,0.061654797,0.008660464,0.458333333,0.75,1.041666667,14.46547137,9.574867267,2.428726553,-2.46206261,2.612103791,-2.282832774,5.836094394,0.365660936,1.688887924,684.7831778,15.67299763,14.43035694,14.43035694,11.93265299,10.19239424,10.19239424,8.617820441,8.617820441,7.637638592,7.637638592,6.741617612,6.741617612,-1.56,1030945.555,13.69948372,4.973198723,1.649124375,144.8444781,0,0,0,0,0,0,0,0,0,0,62.0814889,82.73561963,0,0,0,0,0,0,0,75.03819717,0,58.65200838,0,11.12690298,0,0,0,0,0,0,0,97.29200313,36.39820241,0,11.12690298,0,0,0,0,0,0,0,23.67162418,51.36657298,33.38070895,0,36.39820241,0,0,0,0,0,10.21619803,3.154039116,14.66629157,11.29680461,0,0,0.5,24,0,0,4,0,4,2,0,2,0,0,0,0,2,0,2,6,6.8632,99.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,87.3870785,1.861990741,1.439814815,1.861990741,1.439814815,0.470355059,164.292,144.132,164.1565006,68,0,-0.031761974,-0.071009093,0.071009093,0.031761974,0.416666667,0.75,1.083333333,14.18855187,9.842891098,2.127023767,-2.218850264,2.325257478,-2.020418649,5.164303807,0.547921032,1.99813135,140.4773318,8.22576835,8.071067812,8.071067812,5.966326495,5.664213562,5.664213562,4.328427125,4.328427125,3.414213562,3.414213562,2.664213562,2.664213562,-0.26,1023.952729,8.343298921,4.112564659,1.909358705,76.05234895,0,0,0,0,0,0,0,0,0,0,23.98785231,51.36657298,0,0,0,0,0,0,0,64.20821623,0,11.14620906,0,0,0,0,0,0,0,0,0,64.20821623,11.14620906,0,0,0,0,0,0,0,0,0,0,64.20821623,0,11.14620906,0,0,0,0,0,0,3.723981481,0,0,14.60935185,0,0,0.833333333,12,0,0,2,0,2,0,0,0,0,0,0,0,2,0,2,2,4.2112,53.196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,97.66091922,4.10170446,0.978518519,4.10170446,0.978518519,0.65227635,206.288,192.176,206.1095504,78,0,-0.018337519,-0.090556611,0.090556611,0.018337519,0.5625,0.875,1.1875,14.08046603,9.951390185,2.038993433,-2.090459181,2.269057315,-1.864427363,6.023233978,1.595010936,2.278573275,442.5762241,11.38046889,9.187716254,9.187716254,7.7876937,5.278473986,5.278473986,3.689157589,3.689157589,2.608778257,2.608778257,1.627136345,1.627136345,-2.08,6460.536421,10.43822409,4.626327317,2.115687586,96.56905972,0,0,0,0,0,0,0,0,0,0,73.82154205,22.27311204,0,0,0,11.14620906,0,0,0,0,0,84.94844504,0,0,0,0,0,0,0,0,0,11.12690298,73.82154205,0,11.14620906,0,0,0,0,0,0,0,22.27311204,0,0,36.39820241,37.42333964,0,0,0,0,0,4.200283447,0,20.2629743,0,8.203408919,0,0,16,0,0,0,0,0,2,0,2,0,0,0,3,0,0,0,2,4.4132,70.952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,67.96499655,1.560185185,1.155092593,1.560185185,1.155092593,0.481193197,138.254,120.11,138.1408506,58,0,-0.038584578,-0.053021666,0.053021666,0.038584578,0.5,0.8,1.1,14.31976687,9.709527138,2.262921702,-2.347347427,2.394551581,-2.221595083,4.782737938,0.171046854,1.925367734,80.60593782,6.811554788,6.811554788,6.811554788,4.966326495,4.966326495,4.966326495,4.089073412,4.089073412,3.466326495,3.466326495,2.857589235,2.857589235,0,348.5704618,6.694214876,2.93877551,1.209876543,64.01206775,0,0,0,0,0,0,0,0,0,0,51.36657298,11.83581209,0,0,0,0,0,0,11.83581209,51.36657298,0,0,0,0,0,0,0,0,0,0,11.83581209,51.36657298,0,0,0,0,0,0,0,0,0,0,11.83581209,25.68328649,25.68328649,0,0,0,0,0,0,0,0,2.310185185,0,12.35648148,0,0,1,10,0,0,2,0,2,0,0,0,0,0,0,0,2,0,2,2,3.3668,43.916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,70.43452728,2.207175926,1.142851474,2.207175926,1.142851474,0.58312047,134.222,120.11,134.1095504,54,0,-0.030743748,-0.061294135,0.061294135,0.030743748,0.8,1.1,1.3,13.93816979,10.09110411,1.877385353,-1.969818495,2.04106375,-1.813800827,5.215707006,1.100400482,2.797251263,160.6982132,7.397341225,6.723614639,6.723614639,4.863703305,3.942687549,3.942687549,2.523603362,2.523603362,1.839467948,1.839467948,1.010667982,1.010667982,-0.78,237.5874173,7.32845987,3.403772294,1.598288066,62.89117158,0,0,0,0,0,0,0,0,0,0,38.11294267,23.96854623,0,0,0,0,0,0,0,26.68911765,0,35.39237126,0,0,0,0,0,0,0,12.84164325,0,24.97437738,24.26546827,0,0,0,0,0,0,0,0,0,12.84164325,11.12690298,0,0,38.11294267,0,0,0,0,0,2.855925926,0,8.828703704,2.285702948,4.363000756,0,0.4,10,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,2.8114,45.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,48.81551281,2,2,2,2,0.442628372,78.114,72.066,78.04695019,30,0,-0.062268571,-0.062268571,0.062268571,0.062268571,0.333333333,0.5,0.666666667,13.64699316,10.37900684,1.573724591,-1.694261733,1.794093162,-1.473893162,4.985993162,1.718006838,3,71.96100506,4.242640687,3.464101615,3.464101615,3,2,2,1.154700538,1.154700538,0.666666667,0.666666667,0.384900179,0.384900179,-0.78,34.39946188,3.411570881,1.60576944,0.58239926,37.43140312,0,0,0,0,0,0,0,0,0,0,36.39820241,0,0,0,0,0,0,0,0,0,0,36.39820241,0,0,0,0,0,0,0,0,0,0,36.39820241,0,0,0,0,0,0,0,0,0,0,0,0,36.39820241,0,0,0,0,0,0,0,0,12,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1.6866,26.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
